Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
360	-565.0589	-595.9718	30.9129	0.254406	0.431105	0.568895	0.745594	2.958769	0.257283	0.0394904	0.0526514	0.037689	0.196473	0.140582	0.000966954	0.219649	0.0971035	0.0163697	0.0685589	0.0161378	0.0124548	0.0449735	0.0185509	0.00038765	0.00948005	0.106318	0.00910283	0.00367646	0.0688205	0.140965	0.0256596	0.0152251	0.0319627	0.0713914	0.0540675	0.0671453	0.00904661	0.555191	0.278438	0.0857207	0.0806505	0.123816	0.361032	0.727717	1.37416	2.76984	8.07648	1.510459	0.140424	0.0215537	0.028737	0.0205705	0.107234	0.0767294	0.000527761	0.119883	0.0529988	0.00893453	0.0374193	0.00880796	0.00679778	0.0245464	0.010125	0.000211578	0.00517418	0.0580283	0.0049683	0.0020066	0.037562	0.0769384	0.0140049	0.0083098	0.0174451	0.0389652	0.0295099	0.0366477	0.00493761	1.832183
396	-571.9169	-602.004	30.08708	0.120057	0.372066	0.627934	0.879943	0.9601452	0.86541	0.0546224	0.0569841	0.0931698	0.135553	0.0645447	0.380826	0.0949902	0.317783	0.259245	0.0601744	0.020336	0.0223599	0.0608586	0.032941	0.0360779	0.0732769	0.0930916	0.241978	0.0339234	0.175449	0.0422898	0.0202617	0.155688	0.074666	0.151583	0.000350518	0.0355235	0.00143885	0.211336	0.395867	0.253963	0.138834	0.275677	0.533435	0.821967	1.21659	1.87464	3.62744	0.9316933	0.236749	0.0149429	0.015589	0.0254883	0.037083	0.0176574	0.104182	0.0259863	0.0869354	0.0709211	0.0164618	0.00556329	0.00611696	0.016649	0.00901161	0.00986976	0.0200462	0.0254669	0.0661975	0.00928036	0.0479973	0.0115691	0.00554295	0.0425912	0.0204262	0.0414682	9.58905e-05	0.0097181	0.000393625	3.655397
432	-568.816	-600.8691	32.05319	0.150196	0.388653	0.611347	0.849804	1.226765	0.314781	0.0772858	0.049956	0.0509265	0.101549	0.0741434	0.0644553	0.0789675	0.200692	0.0961332	0.0502694	0.00373188	0.0179317	0.038549	0.0235608	0.00226663	0.00750338	0.0721579	0.450872	0.00930064	0.0779694	0.0154735	0.00311783	0.00909448	0.000797834	0.0351797	0.0115912	0.0248084	0.0032083	0.330628	0.0167677	0.627857	0.0247475	0.132	0.372479	0.734838	1.36084	2.68472	7.57576	1.464181	0.16009	0.0393057	0.0254064	0.0259	0.0516454	0.0377076	0.0327804	0.040161	0.102067	0.048891	0.0255658	0.00189794	0.00911964	0.0196051	0.0119825	0.00115275	0.00381604	0.0366978	0.229303	0.00473009	0.0396534	0.00786946	0.00158565	0.00462524	0.000405759	0.0178916	0.00589502	0.0126169	0.00163166	1.966274
468	-566.6185	-598.9813	32.36286	0.00107695	0.1623	0.8377	0.998923	0.1508615	0.376237	0.00216767	0.161898	0.0170731	0.0767794	0.0582998	0.00731062	0.267975	0.168506	0.0957719	0.100794	0.0225709	0.0310544	0.043288	0.0319439	0.00313299	0.0470533	0.119862	0.00871209	0.0495181	0.131342	0.273457	0.1034	0.0435472	0.0214392	0.0285074	0.0141878	0.235451	0.00564872	0.0205404	0.424516	0.167408	0.387536	0.22867	0.48695	0.798916	1.2517	2.0536	4.37312	1.066872	0.147722	0.00085109	0.0635661	0.00670339	0.0301458	0.0228902	0.00287037	0.105215	0.0661605	0.0376029	0.0395746	0.00886199	0.0121929	0.0169961	0.0125421	0.0012301	0.0184745	0.0470614	0.00342062	0.0194423	0.0515689	0.107367	0.0405981	0.0170979	0.00841766	0.0111928	0.00557054	0.0924449	0.00221786	2.54693
504	-571.0768	-600.7545	29.67776	0.126679	0.375975	0.624024	0.873321	1.013848	0.676841	0.0482375	0.0666425	0.00966229	0.0777239	0.187252	0.104397	0.210059	0.234373	0.0970156	0.0965636	0.0420519	0.0112903	0.0841654	0.0330959	0.00563018	0.222445	0.225746	0.0154638	0.0157097	0.072461	0.16926	0.552593	0.0506237	0.0366725	0.0759529	0.00292048	0.255537	0.00055035	0.597215	0.150309	0.151688	0.100787	0.179234	0.432405	0.769848	1.29896	2.31264	5.5793	1.243001	0.183877	0.0131047	0.0181048	0.00262496	0.0211153	0.0508707	0.0283615	0.0570667	0.0636721	0.0263562	0.0262334	0.0114242	0.00306725	0.0228652	0.00899118	0.00152955	0.0604316	0.0613284	0.00420106	0.00426784	0.0196855	0.0459829	0.150123	0.013753	0.00996282	0.0206341	0.000793406	0.0694218	0.000149513	3.680937
540	-573.3908	-604.942	31.55127	0.00175682	0.174362	0.825637	0.998243	0.1662014	0.682926	0.090042	0.00142645	0.0112308	0.0649949	0.179571	0.245239	0.194459	0.110047	0.338122	0.0622723	0.0148236	0.0195134	0.0506706	0.011947	0.000677424	0.0649454	0.024306	0.00411538	0.0736382	0.049307	0.105466	0.483676	0.0213356	0.0656941	0.0175531	0.0161929	0.199386	0.00029646	0.411814	0.29539	0.182286	0.11051	0.318838	0.572651	0.840361	1.18996	1.74627	3.13639	0.82652	0.213156	0.0281041	0.000445226	0.00350538	0.0202863	0.0560479	0.0765446	0.0606949	0.0343481	0.105535	0.0194366	0.00462678	0.00609057	0.0158154	0.00372893	0.000211439	0.0202709	0.00758644	0.0012845	0.0229841	0.0153898	0.0329183	0.150966	0.00665931	0.0205046	0.00547871	0.00505415	0.0622327	9.25316e-05	3.203874
576	-570.775	-603.1327	32.35768	0.099697	0.358841	0.641159	0.900303	0.8089006	0.431362	0.0865391	0.127429	0.0797066	0.0529997	0.0928896	0.0808877	0.240909	0.125325	0.0826817	0.0530264	0.00221284	0.0123547	0.0799834	0.013217	0.000347616	0.00965584	0.0204463	0.0415618	0.0227337	0.0213238	0.0195806	0.01578	0.0168253	0.0280509	0.00344162	0.425609	0.0648748	0.0162787	0.340698	0.236547	0.147915	0.274839	0.21417	0.471638	0.790992	1.26424	2.12027	4.66919	1.114239	0.190192	0.038156	0.0561848	0.0351435	0.0233681	0.040956	0.0356642	0.106219	0.0552572	0.0364552	0.0233799	0.000975664	0.00544733	0.0352655	0.0058275	0.000153268	0.00425736	0.00901501	0.018325	0.0100235	0.00940188	0.00863327	0.00695757	0.00741844	0.0123679	0.00151744	0.187655	0.028604	0.00717745	2.268034
612	-576.0015	-602.3799	26.37842	0.302142	0.44643	0.553569	0.697859	4.779054	1.09273	0.118562	0.0295244	0.113075	0.0529684	0.246109	0.10285	0.474657	0.323092	0.222717	2.68047e-05	0.000249095	0.0414437	0.0520269	0.0554929	0.00105419	0.186008	0.0068159	0.0916936	0.165634	0.108345	0.00309663	0.0094701	0.1432	0.00304417	0.489303	0.261105	0.0287287	0.0416841	0.276285	0.464167	0.0203707	0.239177	0.36387	0.610763	0.857425	1.16628	1.6373	2.74823	0.7309924	0.244748	0.0265555	0.00661285	0.0253264	0.0118638	0.0551232	0.0230363	0.106313	0.0723659	0.049884	6.00368e-06	5.5792e-05	0.00928251	0.0116529	0.0124293	0.000236116	0.0416619	0.00152662	0.0205374	0.0370986	0.024267	0.00069358	0.0021211	0.0320737	0.00068183	0.109594	0.0584819	0.00643464	0.00933636	4.464704
648	-573.0694	-603.4859	30.41649	0.122305	0.373412	0.626588	0.877695	0.9781032	0.486656	0.108022	0.0268999	0.0850729	0.142943	0.153666	0.0975394	0.143491	0.533484	0.111011	0.136341	9.30241e-05	0.0165164	0.019285	0.0310306	0.0063733	0.0380984	0.168558	0.163667	0.0257523	0.0135138	0.136729	0.520188	0.0482908	0.0385412	0.0238802	0.00245742	0.027948	0.0320175	0.343175	0.369979	0.181525	0.105321	0.210127	0.467276	0.788702	1.26791	2.14006	4.75902	1.128017	0.14579	0.0323606	0.00805852	0.0254857	0.0428221	0.0460345	0.0292203	0.0429862	0.159818	0.033256	0.0408443	2.78676e-05	0.00494791	0.00577729	0.00929598	0.00190928	0.0114133	0.0504958	0.0490305	0.00771472	0.00404839	0.0409607	0.155835	0.0144667	0.011546	0.0071539	0.00073618	0.00837251	0.00959163	3.338067
684	-570.1974	-600.2487	30.05127	0.18714	0.405704	0.594296	0.81286	1.654279	0.471464	0.0850319	0.0190048	0.0281317	0.057847	0.0390876	0.113687	0.275754	0.185377	0.00153791	0.114339	0.0161987	0.0302383	0.065894	0.0402867	0.00623401	0.0178158	0.0492562	0.0230006	0.0720958	0.3974	0.0221632	0.0146068	0.0329907	0.052963	0.0533059	0.658598	0.152301	0.132457	0.0565521	0.104394	0.837974	0.00107969	0.23056	0.488909	0.799917	1.25013	2.04537	4.33726	1.060918	0.146006	0.0263333	0.00588555	0.00871203	0.0179144	0.0121049	0.0352075	0.0853973	0.0574089	0.00047627	0.0354092	0.00501653	0.00936442	0.0204065	0.0124763	0.00193059	0.00551731	0.015254	0.00712298	0.0223271	0.12307	0.00686365	0.00452352	0.0102168	0.016402	0.0165081	0.203959	0.0471657	0.0410203	3.229069
