Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-566.3641	-597.4709	31.10683	0.265941	0.434967	0.565033	0.734059	3.299558	0.108373	0.0400605	0.030246	0.0402161	0.0552229	0.0657922	0.0757288	0.202387	0.174942	0.0124902	0.0215354	0.0160625	0.0113914	0.0165908	0.015979	0.0108122	0.0108594	0.00419438	0.0795716	0.00191548	0.102501	0.0110948	0.0447132	0.166826	0.00614926	0.0193844	0.0014265	0.0171647	0.0606035	0.0583066	0.278657	0.37573	0.287306	0.0977276	0.321683	0.701983	1.42454	3.10865	10.2325	1.681548	0.0760923	0.0281278	0.0212367	0.028237	0.0387737	0.0461948	0.0531715	0.142103	0.122832	0.00876976	0.0151207	0.011278	0.00799829	0.0116489	0.0112193	0.00759161	0.0076247	0.002945	0.0558697	0.00134492	0.0719689	0.00779003	0.0313945	0.117134	0.00431759	0.0136104	0.00100159	0.0120519	0.0425516	1.424235
36	-576.1464	-604.9985	28.85205	0.178245	0.401857	0.598143	0.821755	1.538556	0.808421	0.0502186	0.110865	0.0908241	0.0950864	0.066597	0.364173	0.137958	0.104056	0.1594	0.114399	0.0129081	0.0453407	0.0572842	0.0154806	0.00291715	0.0273461	0.132565	0.0574545	0.702584	0.174336	0.00686873	0.0132985	0.0562653	0.0572555	0.0784466	0.202817	0.0141559	0.0288807	0.246221	0.256873	0.379353	0.117553	0.144525	0.389316	0.745044	1.3422	2.56861	6.91921	1.398633	0.213405	0.0132566	0.0292659	0.0239755	0.0251007	0.0175801	0.0961335	0.0364177	0.0274685	0.0420779	0.0301987	0.00340746	0.0119689	0.0151217	0.00408652	0.000770063	0.00721876	0.0349942	0.0151667	0.185466	0.0460208	0.00181319	0.00351051	0.0148528	0.0151142	0.0207081	0.053539	0.00373683	0.00762386	3.788201
72	-573.556	-601.5307	27.97476	0.368239	0.4655	0.5345	0.631761	11.26256	0.352285	0.0407109	0.0974675	0.0527959	0.118092	0.0604982	0.0690089	0.0759337	0.167915	0.0410282	0.0970748	0.00392445	0.0107653	0.0423856	0.00474344	0.00258132	0.0220649	0.0853291	0.0066833	0.242304	0.0809049	0.0575566	0.0224538	0.0247145	0.0218158	0.0556333	0.0363233	0.0137387	0.0108112	0.218277	0.312451	0.088213	0.38106	0.168236	0.419255	0.762465	1.31153	2.38518	5.94404	1.288791	0.183717	0.0212308	0.0508294	0.0275331	0.0615849	0.0315498	0.0359882	0.0395995	0.0875679	0.0213963	0.0506246	0.00204661	0.00561413	0.0221041	0.00247371	0.00134616	0.0115068	0.0444992	0.00348535	0.126362	0.0421919	0.0300158	0.0117097	0.0128886	0.011377	0.0290128	0.0189426	0.00716473	0.00563807	1.917543
108	-573.9213	-607.1313	33.21	0.112856	0.367612	0.632388	0.887144	0.9043954	0.411005	0.00906956	0.0298901	0.0246885	0.0451489	0.0476782	0.0614654	0.0629702	0.0565076	0.0593727	0.030119	0.00324034	0.00632452	0.0251295	0.0223314	0.0084032	0.0335981	0.0171195	0.0725478	0.000336093	0.00563184	0.196219	0.000522375	0.0293317	0.013124	0.0492469	0.00226558	0.015064	0.00841198	0.0743659	0.421046	0.49316	0.0114274	0.128378	0.367459	0.731734	1.36662	2.72139	7.78949	1.484298	0.30518	0.00673434	0.0221941	0.0183317	0.033524	0.0354021	0.0456394	0.0467567	0.0419581	0.0440855	0.022364	0.00240602	0.00469609	0.0186592	0.0165815	0.00623955	0.0249473	0.0127116	0.0538683	0.000249556	0.00418176	0.145697	0.000387875	0.0217794	0.00974484	0.0365669	0.00168224	0.0111853	0.00624608	1.346763
144	-567.9794	-599.7754	31.79595	0.113957	0.368307	0.631693	0.886043	0.9127491	0.395	0.0410361	0.0706603	0.0469436	0.153455	0.0293805	0.102	0.2316	0.185722	0.214293	0.117416	0.00114102	0.027599	0.0215538	0.0358989	0.0368271	0.0342426	0.0474621	0.00611119	0.0309611	0.0771565	0.434408	0.0848003	0.0753597	0.0688463	0.00156287	0.0660374	0.0377491	0.00550574	0.212198	0.371113	0.376776	0.0399127	0.283976	0.541208	0.825685	1.21112	1.84772	3.52142	0.9102464	0.147348	0.0153078	0.0263586	0.0175115	0.0572437	0.0109599	0.0380495	0.0863944	0.0692805	0.0799383	0.0438	0.000425636	0.0102953	0.00804028	0.0133915	0.0137377	0.0127736	0.0177049	0.00227968	0.0115495	0.0287819	0.162048	0.0316333	0.0281116	0.0256819	0.000583	0.0246341	0.0140817	0.00205382	2.68073
180	-566.1652	-598.2886	32.12338	0.0826523	0.345968	0.654031	0.917348	0.6955288	0.369197	0.0926581	0.00738057	0.0526136	0.0975679	0.0789581	0.0671322	0.190512	0.26701	0.131124	0.0466668	0.0155055	0.026672	0.0315441	0.0236781	0.0143717	0.0111252	0.0652388	0.0176264	0.0137613	0.0287987	0.298545	0.0224705	0.121504	0.0335856	0.000310956	0.273576	0.00151612	0.0012545	0.0578763	0.618747	0.212397	0.110979	0.17563	0.428142	0.767472	1.30298	2.33567	5.6938	1.25769	0.15371	0.0385769	0.0030728	0.0219049	0.040621	0.0328731	0.0279496	0.0793171	0.111166	0.0545917	0.0194291	0.00645549	0.0111045	0.0131329	0.00985806	0.00598346	0.00463182	0.0271612	0.00733849	0.00572933	0.0119899	0.124295	0.00935527	0.0505867	0.0139829	0.000129462	0.1139	0.000631215	0.000522295	2.401906
216	-566.7086	-596.0441	29.33555	0.0578852	0.322784	0.677216	0.942115	0.5460495	0.67278	0.0629473	0.256063	0.0370901	0.00449209	0.121388	0.0720625	0.384067	0.44497	0.212185	0.0882414	0.00614604	0.00673483	0.0391808	0.0520056	0.0375294	0.0564383	0.204467	0.0378446	0.0202722	0.0508233	0.990376	0.0116649	0.0424696	0.0557806	0.0367324	0.271519	0.0135124	0.078265	0.118361	0.48021	0.139387	0.262042	0.300902	0.556707	0.832991	1.20049	1.79628	3.32334	0.8683834	0.154023	0.0144108	0.0586217	0.00849123	0.0010284	0.02779	0.0164976	0.0879265	0.101869	0.0485765	0.0202016	0.00140704	0.00154184	0.00896987	0.0119059	0.00859179	0.0129207	0.0468097	0.00866396	0.00464102	0.0116353	0.226732	0.00267051	0.00972279	0.0127701	0.00840934	0.0621603	0.00309347	0.0179176	4.368049
252	-566.575	-597.7108	31.13582	0.130154	0.377962	0.622038	0.869846	1.043043	0.447785	0.0742711	0.10025	0.0424169	0.00772211	0.111859	0.0172847	0.367855	0.311217	0.217996	0.096962	0.00290466	0.0100948	0.0181624	0.0450556	0.00622556	0.038185	0.0781472	0.0220275	0.018947	0.0757398	0.298074	0.0329844	0.290744	0.067574	0.0112345	0.107137	0.0448508	0.0466507	0.242371	0.708469	0.00432565	0.0448336	0.289614	0.546422	0.828159	1.2075	1.83009	3.45287	0.8960309	0.148748	0.0246718	0.0333016	0.0140903	0.00256518	0.0371579	0.00574174	0.122196	0.103382	0.0724153	0.0322095	0.00096489	0.00335334	0.0060333	0.0149669	0.00206805	0.0126846	0.0259595	0.00731725	0.00629394	0.0251598	0.0990163	0.010957	0.0965813	0.0224472	0.00373195	0.0355894	0.0148988	0.0154967	3.010356
288	-563.945	-593.9278	29.98279	0.0978652	0.357547	0.642453	0.902135	0.7961983	0.980874	0.00714843	0.0783566	0.0254926	0.0463299	0.20364	0.125054	0.271068	0.335203	0.23773	0.157321	0.00023451	0.0133582	0.0254192	0.0289245	0.00823588	0.0431949	0.182359	0.0532214	0.0621249	0.414094	0.0487224	0.0312692	0.210901	0.081198	0.0166709	0.114442	0.0102962	0.00266875	0.442587	0.161812	0.236196	0.159405	0.277251	0.534919	0.82268	1.21554	1.86944	3.60684	0.9275763	0.257073	0.0018735	0.0205361	0.00668125	0.0121424	0.053371	0.0327748	0.0710429	0.0878519	0.0623056	0.0412316	6.14615e-05	0.00350098	0.006662	0.0075807	0.0021585	0.0113208	0.0477936	0.0139486	0.016282	0.108528	0.0127694	0.0081952	0.055274	0.0212808	0.00436919	0.0299935	0.00269848	0.000699439	3.815552
324	-557.7454	-591.2428	33.49733	0.0943705	0.355023	0.644977	0.905629	0.7723321	0.199897	0.00386886	0.0510047	0.0232425	0.0292573	0.0511131	0.0194722	0.136984	0.142791	0.0256515	0.0337818	0.000163536	0.0138091	0.0263858	0.0118258	0.0150988	0.0185566	0.0432766	0.0101791	0.0257085	0.0731571	0.0677849	0.00901552	0.00859016	0.00505136	0.0130983	0.0454484	0.00845064	0.00465369	0.286057	0.595355	0.0735737	0.045014	0.108428	0.338404	0.713169	1.40219	2.95505	9.22272	1.60642	0.178908	0.00346264	0.0456492	0.0208021	0.0261853	0.0457462	0.0174277	0.122601	0.127798	0.0229581	0.0302347	0.000146365	0.0123592	0.0236153	0.0105841	0.0135135	0.0166082	0.0387326	0.00911029	0.0230092	0.0654756	0.0606676	0.00806889	0.0076882	0.00452097	0.011723	0.0406764	0.00756333	0.00416506	1.117317
